date,repo,referrer,views,unique_visitors
2026-02-20,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,github.com,18,2
2026-02-20,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,m.blog.naver.com,11,6
2026-02-20,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,blog.naver.com,9,4
2026-02-20,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,Bing,4,4
2026-02-20,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,link.naver.com,3,1
2026-02-20,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,m.dcinside.com,1,1
2026-02-21,MuteJack/Mycopsychosys-UnOfficial-Patch,gall.dcinside.com,132,38
2026-02-21,MuteJack/Mycopsychosys-UnOfficial-Patch,github.com,62,13
2026-02-21,MuteJack/Mycopsychosys-UnOfficial-Patch,blog.naver.com,39,13
2026-02-21,MuteJack/Mycopsychosys-UnOfficial-Patch,youtube.com,25,7
2026-02-21,MuteJack/Mycopsychosys-UnOfficial-Patch,m.dcinside.com,10,5
2026-02-21,MuteJack/Mycopsychosys-UnOfficial-Patch,m.blog.naver.com,5,5
2026-02-21,MuteJack/Mycopsychosys-UnOfficial-Patch,Google,1,1
2026-02-21,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,gall.dcinside.com,41,11
2026-02-21,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,github.com,18,2
2026-02-21,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,m.blog.naver.com,9,4
2026-02-21,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,blog.naver.com,8,3
2026-02-21,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,Bing,4,4
2026-02-21,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,link.naver.com,3,1
2026-02-21,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,m.dcinside.com,1,1
2026-02-22,MuteJack/Mycopsychosys-UnOfficial-Patch,gall.dcinside.com,98,31
2026-02-22,MuteJack/Mycopsychosys-UnOfficial-Patch,github.com,37,12
2026-02-22,MuteJack/Mycopsychosys-UnOfficial-Patch,youtube.com,25,7
2026-02-22,MuteJack/Mycopsychosys-UnOfficial-Patch,blog.naver.com,16,11
2026-02-22,MuteJack/Mycopsychosys-UnOfficial-Patch,m.dcinside.com,10,5
2026-02-22,MuteJack/Mycopsychosys-UnOfficial-Patch,m.blog.naver.com,5,5
2026-02-22,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,gall.dcinside.com,41,11
2026-02-22,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,m.blog.naver.com,9,4
2026-02-22,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,blog.naver.com,8,3
2026-02-22,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,Bing,3,3
2026-02-22,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,github.com,3,1
2026-02-22,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,link.naver.com,3,1
2026-02-22,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,m.dcinside.com,1,1
2026-02-23,MuteJack/Mycopsychosys-UnOfficial-Patch,gall.dcinside.com,90,26
2026-02-23,MuteJack/Mycopsychosys-UnOfficial-Patch,github.com,33,11
2026-02-23,MuteJack/Mycopsychosys-UnOfficial-Patch,youtube.com,23,6
2026-02-23,MuteJack/Mycopsychosys-UnOfficial-Patch,blog.naver.com,13,9
2026-02-23,MuteJack/Mycopsychosys-UnOfficial-Patch,m.dcinside.com,10,5
2026-02-23,MuteJack/Mycopsychosys-UnOfficial-Patch,m.blog.naver.com,4,4
2026-02-23,MuteJack/Mycopsychosys-UnOfficial-Patch,Google,1,1
2026-02-23,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,gall.dcinside.com,38,10
2026-02-23,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,m.blog.naver.com,7,3
2026-02-23,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,blog.naver.com,7,2
2026-02-23,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,Bing,3,3
